model|latency|file|prediction|truth
medium.en|0.83|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.37|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.29|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.28|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.27|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.28|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.27|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.27|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.28|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.27|sentence_1.wav| hello how are you doing today|Hello, how are you doing today?
medium.en|0.33|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.38|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.32|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.35|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.35|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.33|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.37|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.36|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
medium.en|0.36|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.35|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.32|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.35|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.33|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.35|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.32|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.32|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.33|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
medium.en|0.33|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.32|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.32|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.35|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.35|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.33|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
medium.en|0.33|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.35|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.35|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.32|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.37|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
medium.en|0.52|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.54|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.47|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.50|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.50|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.50|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.56|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.51|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.53|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.51|sentence_14.wav| The meeting starts at 9 a.m. and ends at 1130 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
medium.en|0.31|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.30|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.30|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.33|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.32|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.34|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.31|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.35|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.34|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.33|sentence_15.wav| There are 24 hours in a day.|There are 24 hours in a day.
medium.en|0.37|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.37|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.38|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.36|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.35|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.35|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.34|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.32|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
medium.en|0.34|sentence_16.wav| The price of the item is $99.99|The price of the item is $99.99.
