model|latency|file|prediction|truth
tiny.en|0.83|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.10|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.09|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.10|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.10|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.09|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.12|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.09|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.09|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.10|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.09|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.09|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.11|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.09|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.10|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.11|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.09|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.09|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.10|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.10|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.10|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.10|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.09|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.09|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.12|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.09|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.10|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
