model|latency|file|prediction|truth
tiny.en|0.76|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.26|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.26|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.29|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.27|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.28|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.25|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.28|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.28|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.28|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
tiny.en|0.29|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.27|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.30|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.30|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.28|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.28|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.32|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.29|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.31|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.27|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
tiny.en|0.27|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.29|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.27|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.30|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.29|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.29|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.27|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.27|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.29|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.29|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
tiny.en|0.28|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.29|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.30|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.28|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.29|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.27|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.28|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.29|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.29|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.31|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.33|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.31|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.32|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.31|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.30|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.33|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.30|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.30|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.30|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.30|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.42|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.42|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.42|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.42|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.43|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.43|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.42|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
