model|latency|file|prediction|truth
turbo|1.02|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.34|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.33|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.33|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.36|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.33|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.33|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.34|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.33|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.35|sentence_1.wav| Hello, how are you doing today?|Hello, how are you doing today?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.35|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.33|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.33|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.34|sentence_10.wav| Have you tried the new restaurant in town?|Have you tried the new restaurant in town?
turbo|0.35|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.35|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.35|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_11.wav| My phone number is 555-1234.|My phone number is 555-1234.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.33|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.35|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.33|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
turbo|0.34|sentence_13.wav| I have 3200 emails in my inbox.|I have 32 unread emails in my inbox.
